name,provisional designation astronomy,discovery date,discovery site,discoverer
152201 -,2005 QA142,"August 30, 2005","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
152202 -,2005 QE143,"August 31, 2005",Anderson Mesa Station,Lowell Observatory Near-Earth-Object Search
152203 -,2005 QD153,"August 27, 2005",Rome Observatory,Campo Imperatore Near-Earth Object Survey
152204 -,2005 QQ154,"August 28, 2005",Anderson Mesa Station,Lowell Observatory Near-Earth-Object Search
152205 -,2005 QP155,"August 29, 2005","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
152206 -,2005 QW168,"August 29, 2005",Palomar Observatory,Near-Earth Asteroid Tracking
152207 -,2005 QX168,"August 29, 2005",Palomar,NEAT
152208 -,2005 QS171,"August 29, 2005",Palomar,NEAT
152209 -,2005 QF173,"August 29, 2005",Palomar,NEAT
152210 -,2005 QH174,"August 31, 2005",Anderson Mesa Station,Lowell Observatory Near-Earth-Object Search
152211 -,2005 QH176,"August 31, 2005",Kitt Peak National Observatory,Spacewatch
List of minor planets: 152001-153000,2005 RG,"September 1, 2005","Wrightwood, California",James Whitney Young
152213 -,2005 RS5,"September 6, 2005",Anderson Mesa Station,Lowell Observatory Near-Earth-Object Search
152214 -,2005 RJ9,"September 2, 2005",Palomar Observatory,Near-Earth Asteroid Tracking
152215 -,2005 RA10,"September 3, 2005",Palomar,NEAT
152216 -,2005 RH21,"September 3, 2005",Palomar,NEAT
152217 Akosipov,2005 RR22,"September 10, 2005",Andrushivka Astronomical Observatory,Andrushivka Astronomical Observatory
152218 -,2005 RQ23,"September 10, 2005",Anderson Mesa Station,Lowell Observatory Near-Earth-Object Search
152219 -,2005 RX23,"September 10, 2005",Anderson Mesa,LONEOS
152220 -,2005 RC25,"September 10, 2005",Anderson Mesa,LONEOS
152221 -,2005 RV27,"September 10, 2005",Anderson Mesa,LONEOS
152222 -,2005 RS28,"September 12, 2005","Socorro, New Mexico",Lincoln Near-Earth Asteroid Research
152223 -,2005 RF33,"September 14, 2005",Catalina Sky Survey,Catalina Sky Survey
